Datetime,PM10 (μg/m³),PM2.5 (μg/m³),CO (μg/m³),NO2 (μg/m³),SO2 (μg/m³),O3  (μg/m³),Temp (°C),Humidity (%),Wind_Speed (km/h),Soil_Moisture (m³/m³),AQI
2022-08-05 00:00:00,0.4203480589022758,0.4382470119521913,0.40095693779904307,0.43119266055045863,0.48148148148148145,0.30303030303030304,0.5682819383259912,0.9736842105263158,0.34444444444444444,0.9817073170731707,0.3658536585365854
2022-08-05 01:00:00,0.39357429718875503,0.4103585657370519,0.3598086124401914,0.35474006116207946,0.41666666666666663,0.3181818181818182,0.5991189427312774,0.9473684210526315,0.19999999999999998,0.9786585365853657,0.3739837398373984
2022-08-05 02:00:00,0.33467202141900937,0.34860557768924305,0.3014354066985646,0.2507645259938837,0.32407407407407407,0.3484848484848485,0.6299559471365638,0.9078947368421052,0.34444444444444444,0.975609756097561,0.3739837398373984
2022-08-05 03:00:00,0.30522088353413657,0.3187250996015937,0.23349282296650717,0.1314984709480122,0.23148148148148145,0.3787878787878788,0.6960352422907489,0.8157894736842105,0.34444444444444444,0.972560975609756,0.3821138211382114
2022-08-05 04:00:00,0.2677376171352075,0.27888446215139445,0.20382775119617222,0.08868501529051986,0.18518518518518517,0.40909090909090906,0.7797356828193832,0.6842105263157895,0.23333333333333334,0.9664634146341462,0.3821138211382114
2022-08-05 05:00:00,0.2637215528781794,0.27490039840637454,0.18277511961722487,0.0672782874617737,0.16666666666666666,0.4545454545454546,0.8149779735682817,0.6184210526315789,0.0,0.9573170731707317,0.3902439024390244
2022-08-05 06:00:00,0.2637215528781794,0.27490039840637454,0.16459330143540668,0.048929663608562685,0.1388888888888889,0.48484848484848486,0.8502202643171805,0.5789473684210525,0.34444444444444444,0.9512195121951219,0.3902439024390244
2022-08-05 07:00:00,0.26639892904953144,0.2768924302788845,0.1569377990430622,0.042813455657492346,0.1388888888888889,0.5303030303030303,0.8502202643171805,0.6052631578947368,0.7666666666666667,0.9420731707317072,0.3902439024390244
2022-08-05 08:00:00,0.2744310575635877,0.2868525896414343,0.15502392344497606,0.04587155963302752,0.1388888888888889,0.5606060606060607,0.7973568281938325,0.6710526315789473,0.39999999999999997,0.9847560975609755,0.3902439024390244
2022-08-05 09:00:00,0.28246318607764387,0.2948207171314742,0.1569377990430622,0.061162079510703356,0.14814814814814814,0.6060606060606061,0.7577092511013216,0.7631578947368421,0.36666666666666664,0.975609756097561,0.3902439024390244
2022-08-05 10:00:00,0.28647925033467203,0.29880478087649404,0.14736842105263157,0.05198776758409785,0.14814814814814814,0.6363636363636364,0.7797356828193832,0.7631578947368421,0.4555555555555555,0.9695121951219512,0.3902439024390244
2022-08-05 11:00:00,0.3038821954484605,0.3167330677290838,0.13684210526315788,0.042813455657492346,0.14814814814814814,0.6666666666666666,0.7753303964757708,0.7631578947368421,0.35555555555555557,0.9634146341463414,0.39837398373983746
2022-08-05 12:00:00,0.2677376171352075,0.27888446215139445,0.17703349282296652,0.16513761467889906,0.1759259259259259,0.7121212121212122,0.6960352422907489,0.8157894736842105,0.5444444444444445,0.975609756097561,0.39837398373983746
2022-08-05 13:00:00,0.33065595716198126,0.3446215139442232,0.2985645933014354,0.5168195718654434,0.21296296296296294,0.696969696969697,0.7004405286343612,0.8026315789473685,0.21111111111111108,0.972560975609756,0.4065040650406504
2022-08-05 17:00:00,0.3828647925033467,0.4003984063745021,0.4631578947368421,0.9266055045871558,0.2777777777777778,0.4696969696969697,0.6255506607929515,0.9210526315789472,0.19999999999999998,0.9817073170731707,0.41463414634146345
2022-08-05 18:00:00,0.34404283801874164,0.3585657370517929,0.34258373205741627,0.5259938837920488,0.23148148148148145,0.4242424242424242,0.6167400881057268,0.9078947368421052,0.3333333333333333,0.975609756097561,0.4065040650406504
2022-08-05 19:00:00,0.35475234270414996,0.37051792828685265,0.33110047846889956,0.4464831804281345,0.24074074074074073,0.3939393939393939,0.6035242290748899,0.9342105263157895,0.31111111111111106,0.975609756097561,0.4065040650406504
